Origin City,Origin State,Destination City,Destination State,Distance (km),Duration (s),Start Coordinates,End Coordinates
Iola,KS,Atlanta,Georgia,1328.542,46761,"37.9245033,-95.3999813","33.7483341,-84.3876896"
Atlanta,Georgia,Lanett,AL,134.664,4615,"33.748444,-84.3876568","32.8687664,-85.1905532"
Athens,GA,Atlanta,Georgia,115.673,4659,"33.9516408,-83.357899","33.7483341,-84.3876896"
Athens,TN,Atlanta,Georgia,257.338,8849,"35.4429298,-84.59302989999999","33.7483341,-84.3876896"
Henderson,NC,Atlanta,Georgia,678.667,22790,"36.3272562,-78.4026354","33.7483341,-84.3876896"
High Point,NC,Atlanta,Georgia,509.453,17539,"35.9556983,-80.0052711","33.7483341,-84.3876896"
Hickory,NC,Atlanta,Georgia,414.356,14409,"35.7344474,-81.3444639","33.7483341,-84.3876896"
Hazleton,PA,Atlanta,Georgia,1272.139,42982,"40.95836,-75.9744455","33.7483341,-84.3876896"
Hebron,KY,Atlanta,Georgia,732.812,24370,"39.0661352,-84.70319590000001","33.7483341,-84.3876896"
Hope Mills,NC,Atlanta,Georgia,591.486,19289,"34.9756922,-78.9507522","33.7483341,-84.3876896"
Horse Cave,KY,Atlanta,Georgia,553.035,18545,"37.179524,-85.90691230000002","33.7483341,-84.3876896"
Atlanta,Georgia,Reynolds,GA,158.529,5914,"33.748444,-84.3876568","32.5598683,-84.0961782"
Houston,MS,Atlanta,Georgia,477.365,16865,"33.8984923,-88.99922819999999","33.7483341,-84.3876896"
Hobart,IN,Atlanta,Georgia,1096.644,36834,"41.5322664,-87.2550143","33.7483341,-84.3876896"
Hillsville,VA,Atlanta,Georgia,563.017,19223,"36.7626288,-80.7347956","33.7483341,-84.3876896"
Holland,MI,Atlanta,Georgia,1226.375,41253,"42.7875234,-86.1089798","33.7483341,-84.3876896"
Port Wentworth,GA,Atlanta,Georgia,397.565,13343,"32.1490999,-81.1631252","33.7483341,-84.3876896"
Albany,GA,Atlanta,Georgia,292.42,10113,"31.5784599,-84.1557426","33.7483341,-84.3876896"
