Origin City,Origin State,Destination City,Destination State,Distance (km),Duration (s),Start Coordinates,End Coordinates
Tampa,Florida,Sebring,FL,149.48,6288,"27.9505229,-82.4571556","27.4955351,-81.4408204"
Lexington,SC,Tampa,Florida,779.828,26596,"33.9814217,-81.2363106","27.9505229,-82.4571556"
Anderson,IN,Tampa,Florida,1652.998,54034,"40.1051119,-85.6802536","27.9505229,-82.4571556"
Lolita,TX,Tampa,Florida,1751.482,56522,"28.8394351,-96.54236639999999","27.9505229,-82.4571556"
Tampa,Florida,Moore Haven,FL,260.407,9069,"27.9505229,-82.4571556","26.8331097,-81.09312349999999"
London,KY,Tampa,Florida,1227.746,39763,"37.1290104,-84.08320379999999","27.9505229,-82.4571556"
Lancaster,SC,Tampa,Florida,873.321,29773,"34.7204424,-80.7708573","27.9505229,-82.4571556"
Ladson,SC,Tampa,Florida,686.814,24480,"32.985688,-80.1098442","27.9505229,-82.4571556"
Lakeland,FL,Tampa,Florida,57.895,2472,"28.0396657,-81.9498371","27.9505229,-82.4571556"
Tampa,Florida,Port Orange,FL,227.11,8141,"27.9505229,-82.4571556","29.1383677,-80.99499209999999"
Leesburg,FL,Tampa,Florida,129.259,5189,"28.8108259,-81.8780156","27.9505229,-82.4571556"
Apopka,FL,Tampa,Florida,152.03,5327,"28.6932935,-81.5317843","27.9505229,-82.4571556"
Antioch,TN,Tampa,Florida,1114.706,36134,"36.0598155,-86.67156419999999","27.9505229,-82.4571556"
Haleyville,AL,Tampa,Florida,1099.427,35436,"34.2264895,-87.6214712","27.9505229,-82.4571556"
Halethorpe,MD,Tampa,Florida,1499.274,49918,"39.2402652,-76.6807572","27.9505229,-82.4571556"
Tampa,Florida,Wildwood,FL,122.273,4295,"27.9505229,-82.4571556","28.8654973,-82.0379265"
Auburn,IN,Tampa,Florida,1817.825,59190,"41.3668679,-85.0589263","27.9505229,-82.4571556"
Greer,SC,Tampa,Florida,937.564,31625,"34.93869,-82.2270834","27.9505229,-82.4571556"
Tampa,Florida,Lake Wales,FL,99.578,4153,"27.9505229,-82.4571556","27.90124,-81.5859514"
Tampa,Florida,Bradenton,FL,72.645,2903,"27.9505229,-82.4571556","27.4988786,-82.5748204"
Tampa,Florida,Auburndale,FL,77.691,3059,"27.9505229,-82.4571556","28.0652982,-81.78870560000001"
Auburndale,FL,Tampa,Florida,78.652,3053,"28.0652982,-81.78870560000001","27.9505229,-82.4571556"
Griffin,GA,Tampa,Florida,684.078,21976,"33.2467788,-84.2639458","27.9505229,-82.4571556"
Hartford,WI,Tampa,Florida,2095.64,68934,"43.3177105,-88.37898779999999","27.9505229,-82.4571556"
Tampa,Florida,Stuart,FL,277.323,10544,"27.9505229,-82.4571556","27.197578,-80.2528593"
Hartwell,GA,Tampa,Florida,825.82,28701,"34.3528341,-82.9318445","27.9505229,-82.4571556"
Atlantic,PA,Tampa,Florida,1769.959,60256,"41.50473909999999,-80.3389571","27.9505229,-82.4571556"
Haslet,TX,Tampa,Florida,1849.321,61117,"32.97473060000001,-97.3476455","27.9505229,-82.4571556"
Hattiesburg,MS,Tampa,Florida,986.794,32525,"31.3271196,-89.29034","27.9505229,-82.4571556"
Hammond,IN,Tampa,Florida,1844.953,60363,"41.5833684,-87.500174","27.9505229,-82.4571556"
Tampa,Florida,Vero Beach,FL,224.401,9015,"27.9505229,-82.4571556","27.638613,-80.3972616"
Hamilton,AL,Tampa,Florida,1110.703,35704,"34.1423479,-87.988637","27.9505229,-82.4571556"
Tampa,Florida,Okeechobee,FL,225.678,8921,"27.9505229,-82.4571556","27.2439351,-80.8298221"
Harrisburg,PA,Tampa,Florida,1622.98,54323,"40.2731989,-76.8866745","27.9505229,-82.4571556"
Goodlettsville,TN,Tampa,Florida,1150.547,37285,"36.323105,-86.7133588","27.9505229,-82.4571556"
Goldsboro,NC,Tampa,Florida,1031.677,35051,"35.3848069,-77.992798","27.9505229,-82.4571556"
Tampa,Florida,Oxford,FL,127.637,4543,"27.9505229,-82.4571556","28.9274973,-82.0373041"
Tampa,Florida,Oldsmar,FL,26.158,1619,"27.9505229,-82.4571556","28.0342112,-82.66515369999999"
Greenville,NC,Tampa,Florida,1113.285,37256,"35.6133682,-77.370464","27.9505229,-82.4571556"
Green Bay,WI,Tampa,Florida,2224.597,73067,"44.5133188,-88.0132958","27.9505229,-82.4571556"
Houston,TX,Tampa,Florida,1577.874,50512,"29.76043,-95.3698084","27.9505229,-82.4571556"
Tampa,Florida,Cocoa,FL,193.007,6762,"27.9505229,-82.4571556","28.3861371,-80.7420988"
